FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1724534,Clouds Shisha Lounge,Restaurant/Cafe/Canteen,"264 Cowley Road, Oxford, Oxfordshire",OX4 1UH,5,0,5
717013,Coba,Restaurant/Cafe/Canteen,"9 Golden Cross, Oxford, Oxfordshire",OX1 3EU,5,0,5
848729,Coco Noir,Restaurant/Cafe/Canteen,"77A London Road, Headington, Oxford",OX3 9AA,0,0,5
268756,Coffee Bar,Restaurant/Cafe/Canteen,"New College J C R Bar, Holywell Street, Oxford",OX1 3BN,5,0,0
1292319,Coffeesmith,Restaurant/Cafe/Canteen,"14-15 Golden Cross, Oxford, Oxfordshire",OX1 3EU,5,5,0
955352,Colombia Coffee Roasters,Restaurant/Cafe/Canteen,"106 - 107 Covered Market, Market Street, Oxford",OX1 3DZ,0,0,0
1693342,Comies Caribbean,Restaurant/Cafe/Canteen,"Ladbrokes Racing, 202 Garsington Road, Oxford",OX4 6NQ,5,5,5
1111093,Common Ground Workspace,Restaurant/Cafe/Canteen,"37-38 Little Clarendon Street, Oxford, Oxfordshire",OX1 2HF,0,0,5
867881,Communi-Tea Cafe,Restaurant/Cafe/Canteen,"Holy Family Church, 1 Cuddesdon Way, Oxford",OX4 6JH,0,0,5
988124,Compass At Asda Living Cafe,Restaurant/Cafe/Canteen,"Unit 4, Templars Shopping Park, Between Towns Road",OX4 3JP,0,0,0
269197,Compass Group UK Ltd At Cafe Bar East,Restaurant/Cafe/Canteen,"Clarendon Laboratory, Parks Road, Oxford",OX1 3PU,0,0,0
268844,Compass Group UK Ltd At Cafe Bar West,Restaurant/Cafe/Canteen,"Denys Wilkinson Building, Keble Road, Oxford",OX1 3RH,0,0,0
841950,Compass Group UK Ltd At Department Of Biochemistry,Restaurant/Cafe/Canteen,"Biochemistry, South Parks Road, Oxford",OX1 3QU,0,0,0
621601,Compass Group UK Ltd At Mathematical Institute Cafe,Restaurant/Cafe/Canteen,"Andrew Wiles Building, Radcliffe Observatory Quarter, Woodstock Road",OX2 6GG,5,0,10
269269,Compass Group UK Ltd At The Cafe,Restaurant/Cafe/Canteen,"Henry Wellcome Building For Genomic Medicine, University Of Oxford Old Road Campus, Roosevelt Drive",OX3 7BN,5,0,0
502627,Compass Group UK Ltd At The Cafe,Restaurant/Cafe/Canteen,"The Old Road Campus Research Building, University Of Oxford Old Road Campus, Roosevelt Drive",OX3 7DQ,0,5,0
1019663,Compass Group UK Ltd At The Cafe,Restaurant/Cafe/Canteen,"University Offices, Wellington Square, Oxford",OX1 2JD,0,0,0
269110,Compass Group UK Ltd At Tulip Cafe,Restaurant/Cafe/Canteen,"Rosemary Rue Building, University Of Oxford Old Road Campus, Roosevelt Drive",OX3 7LF,0,0,0
1011208,Comptoir Libanais,Restaurant/Cafe/Canteen,"227 The Westgate, Queen Street, Oxford",OX1 1PE,0,0,0
1499302,Cosmo Oxford,Restaurant/Cafe/Canteen,"8 Magdalen Street, Oxford, Oxfordshire",OX1 3AD,0,0,0
1065509,Costa,Restaurant/Cafe/Canteen,"Costa Coffee Drive Thru, Horspath Driftway, Oxford",OX3 7JG,0,0,0
