FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
269158,WH Smith,Retailers - other,"Oxford Railway Station, Park End Street, Oxford",OX1 1HS,0,10,5
268717,Whittard Of Chelsea,Retailers - other,"15 High Street, Oxford, Oxfordshire",OX1 4DB,5,0,5
929922,WHSmith,Retailers - other,"Churchill Hospital, Old Road, Headington",OX3 7JY,0,0,0
1285795,Wickes Building Supplies Ltd,Retailers - other,"Wickes Home Improvement, 219 Botley Road, Oxford",OX2 0HA,N/A,N/A,N/A
944543,Wild Honey,Retailers - other,"111 Magdalen Road, Oxford, Oxfordshire",OX4 1RQ,5,5,5
944544,Wild Honey,Retailers - other,"12 South Parade, Oxford, Oxfordshire",OX2 7JL,5,5,5
269466,Wine Palace,Retailers - other,"47 Westlands Drive, Oxford, Oxfordshire",OX3 9QS,N/A,N/A,N/A
1534509,Wolvercote Superstore,Retailers - other,"82 Godstow Road, Oxford, Oxfordshire",OX2 8NY,10,10,10
268345,Wood Farm Stores,Retailers - other,"Woodfarm Post Office, 11 Atkyns Road, Oxford",OX3 8RA,N/A,N/A,N/A
1656361,World Food And Wine,Retailers - other,"51 Between Towns Road, Oxford, Oxfordshire",OX4 3LR,10,5,10
1401882,Zaid Supermarket,Retailers - other,"78A Cowley Road, Oxford, Oxfordshire",OX4 1JB,5,5,10
269352,Zenobia,Retailers - other,"75 St Clement's Street, Oxford, Oxfordshire",OX4 1AH,5,0,0
